arg,tittle,genres,argumento
27,De vez en cuando (1995),Niños | drama,"En 1991, cuatro amigas de la infancia se reúnen en su ciudad natal de Shelby, Indiana. Samantha Albertson (Demi Moore), una escritora de ciencia ficción, narra la historia, como adolescente (interpretada por Gaby Hoffmann), Samantha era considerada la chica ""rara"" a la que le gustaba realizar sesiones de espiritismos y estaba interesada en la ciencia ficción y lo sobrenatural. Roberta Martin (Rosie O'Donnell), doctora, era una persona dura (interpretada por Christina Ricci) cuya madre murió cuando tenía cuatro años. Chrissy Dewitt (Rita Wilson), que vive en el hogar de su infancia, está casada y está a punto de dar a luz a su primer hijo, como una joven ingenua (interpretada por Ashleigh Aston Moore), su madre protegía demasiado de ella. Tina ""Teeny"" Tercell (Melanie Griffith) es una exitosa actriz de Hollywood; de niña (interpretada por Thora Birch), siempre había soñado con la fama."
28,Persuasión (1995),Drama | Romance,"Hace ocho años, Anne Elliot rechazó a Frederick Wentworth, el hombre que amaba, de un sentido del deber y la obediencia. Ahora, una sollanda ignorada y descolorida, ella sigue a su abundancia financieramente ..."
29,Ciudad de los niños perdidos(1995),Aventura | Drama | Fantasía | Misterio | Ciencia ficción,"Un científico en una sociedad surrealista secuestra a los niños para robar sus sueños, con la esperanza de que abandonen su proceso de envejecimiento."
30,Shanghai Triad (Yao A Yao Yao Dao Waipo Qiao) (1995),Crimen | drama,Un niño provincial relacionado con una familia de crimen de Shanghai es reclutada por su tío en Cosmopolitan Shanghai en la década de 1930 para ser un sirviente para la amante de un ganglord.
31,Mentes peligrosas (1995),Drama,"Un ex maestro convertido en marine lucha por conectarse con sus estudiantes en una escuela de ciudad interior. Una inexperta maestra es contratada como profesora de un grupo de chicos difíciles, cada uno de los cuales es un problema social en sí mismo. Pero, aunque la tarea es difícil, la voluntariosa maestra intentará que los chicos lleguen a graduarse."
32,Doce monos (a.k.a. 12 monos) (1995),Misterio | Ciencia FI | Thriller,"En un mundo futuro devastado por la enfermedad, se envía un convicto a tiempo para recopilar información sobre el virus hecho por el hombre que eliminó la mayor parte de la población humana en el planeta."
34,Nena (1995),Niños | drama,"Nena, un cerdo levantado por los perros pastores, aprende a la oveja de rebaño con un poco de ayuda de Farmer Hoggett. Sara es una niña con una imaginación muy desarrollada, gracias en parte a su padre que no pierde ocasión para escapar junto a su hija a un mundo de fantasía donde todo es alegría y sueños. Esta realidad dulce se torna de lo más amarga cuando el padre ha de marchar al ejército, para luchar en la guerra. La niña tiene que ir entonces a un internado donde no se ganará la simpatía de todas las institutrices, en especial de la señorita Minchin que ve en ella a una niña malcriada con demasiados caprichos y consentimientos. Ni siquiera la imaginación ayudará a Sara a sobrellevar mejor su nueva vida. Lo único que la mantiene esperanzada es la pronta visita de su padre y el momento en que éste le diga que ha vuelto para quedarse y que pueden vivir juntos de nuevo. Sin embargo, el padre nunca llega. La niña hace amistad con una niña de color muy diferente a ella y va pasando los días. Uno de ellos se entera de que su padre ha sido dado por muerto en la batalla y como no puede pagar el internado, la muchacha ha de ganarse su estancia a base de duros trabajos."
36,Muerto caminando (1995),Crimen | drama,"Una monja, mientras consuela a un asesino convicto en el Rema de la Muerte, empatiza tanto con el asesino como con las familias de su víctima. Está basada en un hecho real. La Hermana Helen Prejean fue la consejera espiritual de Mathew Poncelet, un homicida condenado a muerte en el estado de Luisiana en 1982 por asesinar a dos adolescentes. De esta relación con Sonnier surgió su libro (""Dead Man Walking""), un testimonio espiritual y profundamente conmovedor sobre el sistema judicial criminal estadounidense. Su trabajo en este tema comenzó en Nueva Orleans en 1981, cuando aceptó formar parte de un proyecto de apoyo a condenados a muerte. Su primer trabajo fue mantener correspondencia con Sonnier. “Yo no sabía nada sobre este hombre, excepto una cosa: Si había sido condenado a muerte, seguramente era pobre, y como yo estaba en ese lugar para servir a los pobres, acepté. Y comencé a escribirle a esta persona, y él me contestó, y finalmente Sonnier fue la primera persona a quién vi ser ejecutada” son palabras de la hermana Helen Prejean tiempo después de la ejecución del condenado."
38,Toma dos (1995),Niños | Comedia,"Alyssa y Amanda son dos niñas pequeñas que son idénticas, pero completan extraños, que se encuentran accidentalmente algún día."
39,Sin clue (1995),Comedia | romance,"Cher superficial, rico y socialmente exitoso está en la parte superior de la escala de picoteo de su escuela secundaria de Beverly Hills. Viéndose a sí misma como un Matchmaker, Cher primero coaxa a dos maestros a salir con ellos."
40,"Cry, el Amado País (1995)",Drama,"Un predicador sudafricano va a buscar su Hijo Oryward, quien ha cometido un crimen en la gran ciudad. Desde el interior del país de Sudáfrica, el ministro negro Stephen Kumalo (Canadá Lee) viajes a Johannesburgo para ayudar a su hermana, que según los informes está enferma, y ​​para buscar a su hijo, que se fue de casa y no se ha mantenido en contacto. También se le pide que visite a la hija de alguien que no ha sabido nada de ella desde hace algún tiempo. Con la ayuda del compañero ministro, el reverendo Msimangu (Sidney Poitier), descubre que su hermana, que tiene un hijo pequeño, que salió de casa para buscar a su marido que se fue en busca de trabajo, no lo encontró y ha estado en prisión y es una prostituta. Se entera de que su hijo ha dejado embarazada a una niña y es un ladrón y asesino. Ambos viven en una comunidad urbana asolada por la pobreza. Los ministros afrontan la dura realidad de segregación racial y sus efectos adversos tanto en los habitantes blancos como en los negros."
41,Richard III (1995),Drama | guerra,El clásico juego de Shakespeare sobre el rey del siglo XV del esquema asesino se reimagina en un entorno alternativo de la Inglaterra de la década de 1930 a medida que se reúnen las nubes de fascismo.
42,Presidentes muertos (1995),Acción | crimen | drama,"Un veterinario de Vietnam se ajusta a la vida después de la guerra al tratar de apoyar a su familia, pero la posibilidad de una vida mejor puede implicar crimen y derramamiento de sangre."
43,Restauración (1995),Drama,"El médico real exiliado al rey Charles II se dedica a ayudar a los londinenses que sufren de la plaga, y en el proceso se enamoran de una mujer igualmente pobre."
44,Mortal Kombat (1995),Acción | aventura | fantasía,"Tres artistas marciales desconocidos son convocados a una isla misteriosa para competir en un torneo, cuyo resultado decidirá el destino del mundo."
45,Morir por (1995),Comedia | drama | thriller,Una hermosa pero la aspirante a la personalidad de la televisión cinea un documental sobre adolescentes con un motivo ulterior más oscuro. Una hermosa e ingenua mujer que sueña con convertirse en una famosa presentadora de televisión filma con oscuras intenciones ocultas un documental sobre adolescentes.
46,Cómo hacer una colcha estadounidense (1995),Drama | Romance,"La novia a ser Finn Dodd escucha cuentos de romance y dolor de sus mayores mientras construyen una colcha. Finn Dodd (Winona Ryder) es una joven y guapa estudiante graduada terminando su tesis de fin de carrera en la Universidad de Berkeley y preparando su matrimonio y su boda con su novio, el apuesto Sam (Dermot Mulroney). Pero las dudas le asaltan pensando sobre el fin de su vida libre, y se empieza a asustar con la idea del matrimonio para toda la vida y de como este le afectará en su día a día. Tras una pequeña crisis emocional decide marchar a casa de su abuela Hy Dodd (Ellen Burstyn) en Grasse (California) en la que, rodeada de excéntricos amigos y familiares, como su tía Glady Jo (Anne Bancroft), meditará el futuro de su vida y de si su matrimonio con Sam será o no una buena idea. Todos los amigos y familiares allí presentes le contarán a Finn vivencias y experiencias en sus vidas amorosas, tratando de poder ayudarla a decidir qué hacer con su futuro matrimonio."
47,Siete (a.k.a. se7en) (1995),Misterio | Suspenso,"Dos detectives, un novato y un veterano, cazan un asesino en serie que usa los siete pecados mortales como sus motivos. El veterano teniente Somerset está a punto de jubilarse y ser reemplazado por el impulsivo detective David Mills. Ambos tendrán que colaborar en la resolución de unos asesinatos cometidos por un psicópata que se basa en los siete pecados capitales."
48,Pocahontas (1995),Animación | Niños | Drama | Musical | Romance,"Un soldado inglés y la hija de un jefe de Algonquin comparten un romance cuando los colonos ingleses invaden a Virginia del siglo XVII. Pocahontas es la hija de Powhatan, el jefe de una tribu india de América del Norte. Un día observa la llegada de un grupo de colones ingleses, encabezados por el ambicioso gobernador Radcliff y el valiente capitán John Smith."
49,Cuando la noche está cayendo (1995),Drama | Romance,"Una mujer contenta y conservadora, que trabaja en la mandatería como profesora de alfabetización en una gran universidad urbana, se encuentra extrañamente atraída por una mujer liberal de espíritu libre que trabaja en un carnaval local que viene a la ciudad."
50,"Sospechosos habituales, los (1995)",Crimen | misterio | thriller,"Un único sobreviviente habla de los eventos retorcidos que conducen a una batalla horrible en un barco, que comenzó cuando se reunieron cinco delincuentes en una alineación de la policía aparentemente aleatoria."
52,Afrodita poderosa (1995),Comedia | drama | romance,"Cuando descubre que su hijo adoptivo es un genio, un Sportswreiter de Nueva York busca a la madre del nacimiento del niño: una estrella porno de Ditzy y la prostituta."
53,Lamerica (1994),Aventura | drama,"Inmediatamente después de la caída del comunismo en Albania, dos italianos van allí para incorporar al dinero de la inversión al crear una compañía falsa. Como el presidente / chico de otoño, eligen a un ex preso político que resulta ser más de lo que parece."
54,"Grande verde, el (1995)",Niños | Comedia,"Un maestro a cambio de Inglaterra se coloca en una escuela de texanos de bajo rendimiento, donde entrena a los niños en fútbol, ​​mejorando su autoestima y lo que lleva a un éxito inesperado."
55,Georgia (1995),Drama,"Sadie está mirando desesperadamente a su hermana mayor Georgia, que es un famoso artista de C & W. Su necesidad desesperada de ser aceptada por su hermana se complica constantemente por sus problemas de drogas y alcohol."
57,Hogar para las vacaciones (1995),Drama,"Después de perder su trabajo, saliendo con su primer jefe de ser, y descubriendo que su hija planea pasar el Día de Acción de Gracias con su novio, Claudia Larson enfrenta pasar las vacaciones con su familia."
58,"Postman, The (Postino, IL) (1994)",Comedia | drama | romance,"Un simple cartero italiano aprende a amar la poesía mientras entrega un correo a un poeta famoso, y luego usa esto a Woo Local Beauty Beatrice."
60,"Indio en el armario, el (1995)",Aventura | Niños | Fantasía,"Omri, un niño que crece en Brooklyn, recibe una extraña variedad de regalos para su cumpleaños: un gabinete de madera de su hermano mayor, un conjunto de llaves antiguas de su madre y un pequeño modelo de plástico de un indio de su mejor amiga Patrick."
61,Ojo por un ojo (1996),Drama | Suspenso,"Cuando los tribunales no cumplen con las barras, el hombre que violó y asesinó a su hija, una mujer busca su propia forma de justicia. Perturbada por la violación y brutal asesinato de una de sus hijas y por el hecho de que el asesino es puesto en libertad gracias a un tecnicismo legal, Karen McCann empezará una nueva vida marcada por la búsqueda de la venganza."
62,Sr. Holland's Opus (1995),Drama,Un compositor frustrado encuentra el cumplimiento como profesor de música de la escuela secundaria. Los sueños frustrados de un instructor de música son reemplazados por los logros en su carrera como maestro de escuela.
63,No seas amenaza a South Central mientras bebe tu jugo en el capó (1996),Comedia | crimen,"Una parodia de varias películas de los Estados Unidos sobre estar en la 'Capucha', por ejemplo, Los Chicos del Barrio (1991), al sur de los Ã Ngeles (1992), Infierno en Los Ã Ngeles (1993), Semillas de Rencor (1995 ) y jugo (1992)."
64,Dos si por mar (1996),Comedia | romance,Una pareja roba una pintura Matisse en el contrato. Se las arreglan para escapar de la policía. La venta tiene lugar 4 días después en una isla. Las cosas no van según lo planeado.
65,Bio-Dome (1996),Comedia,"Morónicos Los mejores amigos se ponen encerrados dentro de la bio-cúpula, un experimento científico, junto con un grupo de científicos ambientales durante un año."
66,CREDETMOWER MAN 2: Más allá del ciberespacio (1996),Acción | Ciencia ficción | Thriller,"Jobe está resucitado por Jonathan Walker. Quiere que Jobe cree un chip de computadora especial que conecte todas las computadoras del mundo a una red, que Walker controlaría y ..."
68,Twist francés (Gazon Maudit) (1995),Comedia | romance,"Después de aprender de las infidelidades de su marido, una ama de casa invita a un lesbiano itinerante para mudarse con ellos. Ninguna de sus vidas será la misma otra vez."
69,Viernes (1995),Comedia,"Es viernes, y Craig y Smokey deben encontrar $ 200, deben un bullido local o no habrá un sábado. Su único plan para el viernes es pasarse las horas muertas en el porche de su casa con su amigo Smokey, que no hace más que fumarse la marihuana que ha de vender. Durante el transcurso del día les van acompañando vecinos y amigos."
70,De Dusk hasta Dawn (1996),Acción | Comedia | Terror | Thriller,"Dos criminales y sus rehenes, sin saberlo, buscan un refugio temporal en una parada de camiones poblados por vampiros, con resultados caóticos."
71,Juego Ferial (1995),Acción,"Max Kirkpatrick es un COP que protege a Kate McQuean, un abogado de derecho civil, de un equipo de KGB renegado para terminarla."
72,Pateando y gritando (1995),Comedia | drama,"Un grupo de chicos cuelga alrededor de su universidad durante meses después de la graduación, continuando una vida como la anterior antes de la graduación."
73,"Misé RABLES, LES (1995)",Drama | guerra,Una variación en la novela clásica de Victor Hugo a través de la historia de un hombre cuya vida se ve afectada por y algo duplicada por la historia de Hugo del asediado Jean Valjean.
74,Cama de Roses (1996),Drama | Romance,"Drama romántico sobre una joven Chica de la carrera que se siente de pie por una florista tímida, que se enamoró de ella después de un vistazo a través de una ventana sombría."
75,Big Bully (1996),Comedia | drama,"Un escritor regresa a su ciudad natal donde se enfrenta a la Némesis de la infancia cuya vida finalmente arruinó, solo el matón quiere revivir su pasado doloroso al torturarlo una vez más."
76,Screamers (1995),Acción | Ciencia ficción | Thriller,"Un comandante militar estacionó el planeta durante una guerra interplanetaria viaja a través del paisaje devastado para negociar un tratado de paz, pero descubre que los robots primitivos que construyeron para matar a los combatientes enemigos han ganado sensibilidad."
77,Icono nico (1995),Documental,"Una mirada a las muchas vidas de Christa Päffgen, de lo contrario, conocida como Nico"
78,"Cruzar Guard, The (1995)",Acción | Delito | Drama | Thriller,Freddy Gale es un joyero semílico que ha jurado matar al conductor ebrio que mató a su niña.
79,"Jurado, el (1996)",Drama | Suspenso,"Un jurado en un juicio de mafia se ve obligado a convencer a los otros jurados a votar, no culpable por un enfoque obsesivo de la mafia."
80,"Globo blanco, el (Badkonake SEFID) (1995)",Niños | drama,Varias personas intentan ayudar a una niña a encontrar el dinero que su madre le dio a comprar un pez de colores.
81,Cosas que hacer en Denver cuando estás muerto (1995),Crimen | drama | romance,Cinco criminales diferentes enfrentan la muerte inminente después de fallar un trabajo bastante mal.
82,Línea de Antonia (Antonia) (1995),Comedia | drama,"Una matrona holandesa establece y, durante varias generaciones, supervisa una comunidad matriarcal de punto cercano donde el feminismo y el liberalismo prosperan."
83,Érase una vez ... cuando estuvimos de color (1995),Drama | Romance,Un narrador cuenta la historia de los años de su infancia en una comunidad afroamericana estrechamente tejida en el Sur profundo bajo la segregación racial.
85,Ángeles e insectos (1995),Drama | Romance,"En la década de 1800, un naturalista se casa en una familia de la gentralidad británica."
86,Squall blanco (1996),Acción | aventura | drama,Los adolescentes descubren la disciplina y la camaradería en un viaje de vela malestinado.
87,Dunston Cheques en (1996),Niños | Comedia,Un niño se hace amigo de un orangután largo en un hotel de lujo.
88,Ovejas negras (1996),Comedia,Un candidato a la gubernatoria contrata a un asistente especial wormy cuyo único trabajo es asegurarse de que el hermano bien intencional pero incompetente del candidato no arruina la elección.
89,Nick of Time (1995),Acción | Thriller,Un hombre unimpresivo y cotidiano se ve obligado a una situación en la que se le dice que mate a un político para salvar a su hija secuestrada.
92,Mary Reilly (1996),Drama | Terror | Thriller,"Una criada enamorada de Dr. Henry Jekyll y su homólogo misterioso, señor Edward Hyde."
93,Vampiro en Brooklyn (1995),Comedia | horror | romance,"Un barco muelle en Brooklyn con toda su tripulación muerta, pero alguien se baja y el asesinato continúa en tierra. Un vampiro caribeño está buscando una mujer específica, medio vampiro medio humano. Rita es el detective investigando los muchos asesinatos."
94,Hermosas chicas (1996),Comedia | drama | romance,Un pianista en una encrucijada en su vida regresa a su hogar a sus amigos y sus propios problemas con la vida y el amor.
95,Flecha rota (1996),Acción | Aventura | Thriller,"Los terroristas roban las ojivas nucleares de los EE. UU. Los militares, pero no cuentan con un piloto y un guardabosques de parques que se estropean sus planes."
96,En el sombrío Midwinter (1995),Comedia | drama,"Un grupo de actores teatros juega a ""Hamlet"" en un pueblo provincial, enfrentada a sus propias tentaciones, decepciones y alegrías."
97,"Odio (Haine, LA) (1995)",Crimen | drama,24 horas en la vida de tres jóvenes en los suburbios franceses el día después de un disturbio violento.
99,Heidi Fleiss: Hollywood Madam (1995),Documental,"Una tripulación documental de la BBC llega a L.A. A. A la intención de entrevistar a Heidi Fleiss, un año después de su arresto por dirigir un burdel pero antes de su juicio. Varios meses transcurridos antes del ..."
100,Ayuntamiento (1996),Drama | Suspenso,El tiroteo accidental de un niño en Nueva York conduce a una investigación del alcalde adjunto y consecuencias inesperadamente de gran alcance.
101,Botella Rocket (1996),Aventura | comedia | crimen | romance,Tres amigos planean sacar un simple robo e ir a correr.
102,Sr. MYRY (1996),Comedia,"Una mujer soltera y solitaria encuentra al hombre aparentemente perfecto hasta la fecha, pero pronto lo lamenta cuando surge su OTROS PERSONALIDAD OTRA PERSONALIDAD Y POSIVOS, no puede convencer a nadie más de su Naturaleza verdadera de Jekyll y Hyde."
103,Inolvidable (1996),Misterio | Ciencia FI | Thriller,"Un examinador médico, que fue sospechoso de asesinar a su esposa, está probando una droga experimental para recuperar la memoria de su esposa y de los demás y tal vez encontrar al asesino y el asesino de masas en un caso presente relacionado."
104,Feliz Gilmore (1996),Comedia,Un jugador de hockey rechazado pone sus habilidades en el campo de golf para salvar la casa de su abuela.
105,"Puentes del condado de Madison, el (1995)",Drama | Romance,El fotógrafo Robert Kincaid se vaya a la vida del ama de casa Francesca Johnson durante cuatro días en la década de 1960.
106,Nadie me ama (Keiner Liebt Mich) (1994),Comedia | drama,"Al borde de su 30 cumpleaños, Fanny siente la puerta a la felicidad conyugal que se acerca a ella. Ella está obsesionada con la muerte, incluso visita las clases nocturnas en la muerte y, por lo tanto, parece apropiado, ..."
107,Muppet Treasure Island (1996),Aventura | Niños | Comedia | Musical,El toque de MUPPETS en el cuento clásico.
108,Pasarela (1996),Documental,"Una cámara sigue al modelo Christy Turlington a través de los espectáculos de moda de primavera en Milán, París y Nueva York, un año a principios de la década de 1990, probablemente 1992. Ella y otros discuten de un diseñador ..."
110,Braveheart (1995),Acción | drama | guerra,El guerrero escocés William Wallace lleva a sus compatriotas en una rebelión para liberar a su tierra natal de la Tyranny del rey Edward I de Inglaterra.
111,Taxi conductor (1976),Crimen drama suspenso,"Un veterano mentalmente inestable trabaja como un taxista nocturno en la ciudad de Nueva York, donde la decadencia percibida y slena combustula su impulso por la acción violenta al intentar liberar a un trabajador de campaña presidencial y una prostituta de menores de edad."
112,Rumble en el Bronx (HONT FAAN KUI) (1995),Acción | aventura | comedia | crimen,Un joven que visita y ayudando a su tío en la ciudad de Nueva York se ve obligado a luchar contra una pandilla callejera y la mafia con sus habilidades de arte marcial.
113,Antes y después (1996),Drama | Misterio,Dos padres tratan los efectos cuando su hijo está acusado de asesinar a su novia.
116,Anne Frank recordó (1995),Documental,"Utilizando material de archivo previamente impulsado, además de las entrevistas contemporáneas, este documental galardonado de la Academia cuenta con la historia de la Familia Frank y presenta la primera ..."
117,"Manual del envenema joven, el (1995)",Crimen | drama,"Esta película se basa en una historia real sobre un adolescente británico que supuestamente envenenó a familiares, amigos y compañeros de trabajo. Graham es altamente inteligente, pero completamente amoral. Él se convierte ..."
118,Si Lucy cayó (1996),Comedia | romance,"Dos habitaciones de Nueva York tienen un pacto para saltar al puente de Brooklyn, si no han encontrado a los socios de la vida antes de ella 30. Eso es menos de un mes de distancia."
119,"Robar grande, robar poco (1995)",Comedia,"Rubén y Robby son hermanos gemelos, adoptados por Mona, una de las mujeres más ricas y excéntricas, en Santa Bárbara. Ruben está dedicado a Mona, pero Robby está más dedicado a su dinero. Entonces..."
121,"Chicos de San Vicente, The (1992)",Drama,"La verdadera historia de los niños que se abusan sexualmente por su orfanato, corrió por una comunidad religiosa en Terranova."
122,Boomerang (1992),Comedia | romance,Un exitoso ejecutivo y mujeriega encuentran que sus opciones de estilo de vida se han vuelto cuando su nuevo jefe femenino resulta ser un desviado aún más grande que él.
123,Chungking Express (Chung Hing Sam Lam) (1994),Drama | Misterio | Romance,"Dos policías de Melancholy Hong Kong se enamoran: una con una misteriosa figura de underworld femenino, la otra con una camarera hermosa y etérea en un restaurante de última hora en que se frecuenta."
125,Coqueteando con desastre (1996),Comedia,"Un joven, su esposa, y su incompetente casual trabajador viajan a través del país para encontrar a sus padres de nacimiento."
126,"Nevering Story III, The (1994)",Aventura | Niños | Fantasía,Un niño debe restaurar el orden cuando un grupo de matones roba el libro mágico que actúa como un portal entre la Tierra y el mundo imaginario de la fantasía.
128,Esposa de Júpiter (1994),Documental,"Michel Negroponte, un cineasta documental, conoce a Maggie un día en Central Park. Maggie afirma estar casada con el dios Júpiter y la hija del actor Robert Ryan. Michel consigue saber ..."
